,code,date,ma5,ma10,ma20,ma30,ma60
0,000429.SZ,19991118,,,,,
1,000429.SZ,19991119,,,,,
2,000429.SZ,19991122,,,,,
3,000429.SZ,19991123,,,,,
4,000429.SZ,19991124,,,,,
5,000429.SZ,19991125,,,,,
6,000429.SZ,19991126,,,,,
7,000429.SZ,19991129,,,,,
8,000429.SZ,19991130,,,,,
9,000429.SZ,19991201,,,,,
10,000429.SZ,19991202,,,,,
11,000429.SZ,19991203,,,,,
12,000429.SZ,19991206,,,,,
13,000429.SZ,19991207,,,,,
14,000429.SZ,19991208,,,,,
15,000429.SZ,19991209,,,,,
16,000429.SZ,19991210,,,,,
17,000429.SZ,19991213,,,,,
18,000429.SZ,19991214,,,,,
19,000429.SZ,19991215,,,,,
20,000429.SZ,19991216,,,,,
21,000429.SZ,19991217,,,,,
22,000429.SZ,19991221,,,,,
23,000429.SZ,19991222,,,,,
24,000429.SZ,19991223,,,,,
25,000429.SZ,19991224,,,,,
26,000429.SZ,19991228,,,,,
27,000429.SZ,19991229,,,,,
28,000429.SZ,19991230,,,,,
29,000429.SZ,20000104,,,,,
30,000429.SZ,20000105,,,,,
31,000429.SZ,20000106,,,,,
32,000429.SZ,20000107,,,,,
33,000429.SZ,20000110,,,,,
34,000429.SZ,20000111,,,,,
35,000429.SZ,20000112,,,,,
36,000429.SZ,20000113,,,,,
37,000429.SZ,20000114,,,,,
38,000429.SZ,20000117,,,,,
39,000429.SZ,20000118,,,,,
40,000429.SZ,20000119,,,,,
41,000429.SZ,20000120,,,,,
42,000429.SZ,20000121,,,,,
43,000429.SZ,20000124,,,,,
44,000429.SZ,20000125,,,,,
45,000429.SZ,20000126,,,,,
46,000429.SZ,20000127,,,,,
47,000429.SZ,20000128,,,,,
48,000429.SZ,20000214,,,,,
49,000429.SZ,20000215,,,,,
50,000429.SZ,20000216,,,,,
51,000429.SZ,20000217,,,,,
52,000429.SZ,20000218,,,,,
53,000429.SZ,20000221,,,,,
54,000429.SZ,20000222,,,,,
55,000429.SZ,20000223,,,,,
56,000429.SZ,20000224,,,,,
57,000429.SZ,20000225,,,,,
58,000429.SZ,20000228,,,,,
59,000429.SZ,20000229,,,,,
60,000429.SZ,20000301,,,,,
61,000429.SZ,20000302,,,,,
62,000429.SZ,20000303,,,,,
63,000429.SZ,20000306,,,,,
64,000429.SZ,20000307,,,,,
65,000429.SZ,20000308,,,,,
66,000429.SZ,20000309,,,,,
67,000429.SZ,20000310,,,,,
68,000429.SZ,20000313,,,,,
69,000429.SZ,20000314,,,,,
70,000429.SZ,20000315,,,,,
71,000429.SZ,20000316,,,,,
72,000429.SZ,20000317,,,,,
73,000429.SZ,20000320,,,,,
74,000429.SZ,20000321,,,,,
75,000429.SZ,20000322,,,,,
76,000429.SZ,20000323,,,,,
77,000429.SZ,20000324,,,,,
78,000429.SZ,20000327,,,,,
79,000429.SZ,20000328,,,,,
80,000429.SZ,20000329,,,,,
81,000429.SZ,20000330,,,,,
82,000429.SZ,20000331,,,,,
83,000429.SZ,20000403,,,,,
84,000429.SZ,20000404,,,,,
85,000429.SZ,20000405,,,,,
86,000429.SZ,20000406,,,,,
87,000429.SZ,20000407,,,,,
88,000429.SZ,20000410,,,,,
89,000429.SZ,20000411,,,,,
90,000429.SZ,20000412,,,,,
91,000429.SZ,20000413,,,,,
92,000429.SZ,20000414,,,,,
93,000429.SZ,20000417,,,,,
94,000429.SZ,20000418,,,,,
95,000429.SZ,20000419,,,,,
96,000429.SZ,20000420,,,,,
97,000429.SZ,20000421,,,,,
98,000429.SZ,20000425,,,,,
99,000429.SZ,20000426,,,,,
100,000429.SZ,20000427,,,,,
101,000429.SZ,20000428,,,,,
102,000429.SZ,20000508,,,,,
103,000429.SZ,20000509,,,,,
104,000429.SZ,20000510,,,,,
105,000429.SZ,20000511,,,,,
106,000429.SZ,20000512,,,,,
107,000429.SZ,20000515,,,,,
108,000429.SZ,20000516,,,,,
109,000429.SZ,20000517,,,,,
110,000429.SZ,20000518,,,,,
111,000429.SZ,20000519,,,,,
112,000429.SZ,20000522,,,,,
113,000429.SZ,20000523,,,,,
114,000429.SZ,20000524,,,,,
115,000429.SZ,20000525,,,,,
116,000429.SZ,20000526,,,,,
117,000429.SZ,20000529,,,,,
118,000429.SZ,20000530,,,,,
119,000429.SZ,20000531,,,,,
120,000429.SZ,20000601,,,,,
121,000429.SZ,20000602,,,,,
122,000429.SZ,20000605,,,,,
123,000429.SZ,20000606,,,,,
124,000429.SZ,20000607,,,,,
125,000429.SZ,20000608,,,,,
126,000429.SZ,20000609,,,,,
127,000429.SZ,20000612,,,,,
128,000429.SZ,20000613,,,,,
129,000429.SZ,20000614,,,,,
130,000429.SZ,20000615,,,,,
131,000429.SZ,20000616,,,,,
132,000429.SZ,20000619,,,,,
133,000429.SZ,20000620,,,,,
134,000429.SZ,20000621,,,,,
135,000429.SZ,20000622,,,,,
136,000429.SZ,20000623,,,,,
137,000429.SZ,20000626,,,,,
138,000429.SZ,20000627,,,,,
139,000429.SZ,20000628,,,,,
140,000429.SZ,20000629,,,,,
141,000429.SZ,20000630,,,,,
142,000429.SZ,20000703,,,,,
143,000429.SZ,20000704,,,,,
144,000429.SZ,20000705,,,,,
145,000429.SZ,20000706,,,,,
146,000429.SZ,20000707,,,,,
147,000429.SZ,20000710,,,,,
148,000429.SZ,20000711,,,,,
149,000429.SZ,20000712,,,,,
150,000429.SZ,20000713,,,,,
151,000429.SZ,20000714,,,,,
152,000429.SZ,20000717,,,,,
153,000429.SZ,20000718,,,,,
154,000429.SZ,20000719,,,,,
155,000429.SZ,20000720,,,,,
156,000429.SZ,20000721,,,,,
157,000429.SZ,20000724,,,,,
158,000429.SZ,20000725,,,,,
159,000429.SZ,20000726,,,,,
160,000429.SZ,20000727,,,,,
161,000429.SZ,20000728,,,,,
162,000429.SZ,20000731,,,,,
163,000429.SZ,20000801,,,,,
164,000429.SZ,20000802,,,,,
165,000429.SZ,20000803,,,,,
166,000429.SZ,20000804,,,,,
167,000429.SZ,20000807,,,,,
168,000429.SZ,20000808,,,,,
169,000429.SZ,20000809,,,,,
170,000429.SZ,20000810,,,,,
171,000429.SZ,20000811,,,,,
172,000429.SZ,20000814,,,,,
173,000429.SZ,20000815,,,,,
174,000429.SZ,20000816,,,,,
175,000429.SZ,20000817,,,,,
176,000429.SZ,20000818,,,,,
177,000429.SZ,20000821,,,,,
178,000429.SZ,20000822,,,,,
179,000429.SZ,20000823,,,,,
180,000429.SZ,20000824,,,,,
181,000429.SZ,20000825,,,,,
182,000429.SZ,20000828,,,,,
183,000429.SZ,20000829,,,,,
184,000429.SZ,20000830,,,,,
185,000429.SZ,20000831,,,,,
186,000429.SZ,20000901,,,,,
187,000429.SZ,20000904,,,,,
188,000429.SZ,20000905,,,,,
189,000429.SZ,20000906,,,,,
190,000429.SZ,20000907,,,,,
191,000429.SZ,20000908,,,,,
192,000429.SZ,20000911,,,,,
193,000429.SZ,20000912,,,,,
194,000429.SZ,20000913,,,,,
195,000429.SZ,20000914,,,,,
196,000429.SZ,20000915,,,,,
197,000429.SZ,20000919,,,,,
198,000429.SZ,20000920,,,,,
199,000429.SZ,20000921,,,,,
200,000429.SZ,20000922,,,,,
201,000429.SZ,20000925,,,,,
202,000429.SZ,20000926,,,,,
203,000429.SZ,20000927,,,,,
204,000429.SZ,20000928,,,,,
205,000429.SZ,20000929,,,,,
206,000429.SZ,20001009,,,,,
207,000429.SZ,20001010,,,,,
208,000429.SZ,20001011,,,,,
209,000429.SZ,20001012,,,,,
210,000429.SZ,20001013,,,,,
211,000429.SZ,20001016,,,,,
212,000429.SZ,20001017,,,,,
213,000429.SZ,20001018,,,,,
214,000429.SZ,20001019,,,,,
215,000429.SZ,20001020,,,,,
216,000429.SZ,20001023,,,,,
217,000429.SZ,20001024,,,,,
218,000429.SZ,20001025,,,,,
219,000429.SZ,20001026,,,,,
220,000429.SZ,20001027,,,,,
221,000429.SZ,20001030,,,,,
222,000429.SZ,20001031,,,,,
223,000429.SZ,20001101,,,,,
224,000429.SZ,20001102,,,,,
225,000429.SZ,20001103,,,,,
226,000429.SZ,20001106,,,,,
227,000429.SZ,20001107,,,,,
228,000429.SZ,20001108,,,,,
229,000429.SZ,20001109,,,,,
230,000429.SZ,20001110,,,,,
231,000429.SZ,20001113,,,,,
232,000429.SZ,20001114,,,,,
233,000429.SZ,20001115,,,,,
234,000429.SZ,20001116,,,,,
235,000429.SZ,20001117,,,,,
