,date,open,high,low,close,volume
0,2021-07-29,0.98,1.032,0.98,1.021,158614300
1,2021-07-30,1.021,1.04,1.014,1.038,52148600
2,2021-08-02,1.036,1.045,1.02,1.029,24888800
3,2021-08-03,1.02,1.028,1.009,1.012,16430700
4,2021-08-04,1.012,1.04,1.011,1.036,24347200
5,2021-08-05,1.035,1.041,1.023,1.037,15426900
6,2021-08-06,1.05,1.059,1.019,1.024,13468200
7,2021-08-09,1.028,1.028,1.004,1.015,7950100
8,2021-08-10,1.015,1.028,1.01,1.023,6823500
9,2021-08-11,1.016,1.028,1.015,1.02,10548900
10,2021-08-12,1.019,1.037,1.018,1.026,10418900
11,2021-08-13,1.015,1.024,1.004,1.006,7432200
12,2021-08-16,1.006,1.014,0.997,1.002,3966200
13,2021-08-17,1.0,1.006,0.982,0.985,5665700
14,2021-08-18,0.984,0.991,0.973,0.977,5027700
15,2021-08-19,0.973,1.008,0.973,0.999,10910500
16,2021-08-20,0.999,1.002,0.977,0.986,5026400
17,2021-08-23,0.987,1.014,0.986,1.011,12192900
