,symbol,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,code,ticktime,state,statetxt
0,sz159999,永赢中证500ETF,1.140,0.003,0.264,1.140,1.143,1.137,1.133,1.143,1.130,134600,153064,159999,11:12:12,00,正常
1,sz159998,计算机ETF,1.100,-0.004,-0.362,1.100,1.102,1.104,1.104,1.107,1.097,1438300,1583998,159998,11:12:15,00,正常
2,sz159997,电子ETF,1.369,0.004,0.293,1.368,1.369,1.365,1.368,1.375,1.349,17292901,23534113,159997,11:12:15,00,正常
3,sz159996,家电ETF,1.346,-0.001,-0.074,1.345,1.347,1.347,1.347,1.365,1.341,17647123,23863831,159996,11:12:15,00,正常
4,sz159995,芯片ETF,1.727,0.029,1.708,1.726,1.728,1.698,1.699,1.743,1.680,329070722,563527980,159995,11:12:15,00,正常
5,sz159994,5GETF,0.978,0.005,0.514,0.978,0.980,0.973,0.973,0.982,0.967,31919408,31103890,159994,11:12:12,00,正常
6,sz159993,龙头券商ETF,1.235,0.029,2.405,1.235,1.236,1.206,1.210,1.235,1.195,49419745,59925727,159993,11:12:15,00,正常
7,sz159992,创新药ETF,1.368,0.022,1.634,1.367,1.368,1.346,1.346,1.375,1.340,70948412,96776289,159992,11:12:15,00,正常
8,sz159991,创大盘ETF,0.695,0.009,1.312,0.695,0.696,0.686,0.690,0.698,0.681,14443200,10007840,159991,11:12:06,00,正常
9,sz159990,小盘价值ETF,1.317,0.014,1.074,1.316,1.317,1.303,1.305,1.318,1.303,1754800,2299163,159990,11:12:15,00,正常
10,sz159988,粤债ETF,1.022,-0.002,-0.195,1.022,1.027,1.024,1.021,1.035,0.982,43000,43942,159988,11:11:24,00,正常
11,sz159987,科技创新ETF,1.811,0.008,0.444,1.810,1.811,1.803,1.802,1.823,1.794,3148000,5721315,159987,11:12:12,00,正常
12,sz159986,消费100ETF,1.406,0.006,0.429,1.402,1.406,1.400,1.387,1.407,1.387,278100,390559,159986,11:12:18,00,正常
13,sz159985,豆粕ETF,1.277,0.006,0.472,1.275,1.277,1.271,1.267,1.277,1.265,5552701,7048902,159985,11:12:12,00,正常
14,sz159984,湾区100ETF,1.285,0.008,0.626,1.278,1.283,1.277,1.277,1.285,1.277,137002,175627,159984,11:12:03,00,正常
15,sz159983,粤港澳大湾区ETF,1.355,0.012,0.894,1.351,1.353,1.343,1.343,1.355,1.343,341000,460038,159983,11:12:03,00,正常
16,sz159982,中证500ETF鹏华,1.600,0.013,0.819,1.598,1.600,1.587,1.589,1.602,1.584,8725900,13911162,159982,11:12:15,00,正常
17,sz159981,能源化工ETF,1.382,-0.005,-0.360,1.382,1.383,1.387,1.387,1.394,1.381,1733700,2401858,159981,11:12:09,00,正常
18,sz159980,有色ETF,1.389,0.011,0.798,1.389,1.390,1.378,1.382,1.393,1.382,5026300,6983584,159980,11:12:06,00,正常
19,sz159979,湾创100ETF,1.204,0.000,0.000,1.204,1.211,1.204,1.207,1.211,1.204,12116,14618,159979,11:12:03,00,正常
20,sz159978,大湾区ETF,1.203,-0.003,-0.249,1.204,1.207,1.206,1.202,1.209,1.202,392401,472958,159978,11:11:57,00,正常
21,sz159977,创业板ETF天弘,3.371,0.045,1.353,3.368,3.371,3.326,3.328,3.380,3.301,2807400,9378416,159977,11:12:15,00,正常
22,sz159976,湾创ETF,1.254,0.012,0.966,1.251,1.252,1.242,1.247,1.254,1.244,838200,1049414,159976,11:12:03,00,正常
23,sz159975,深100ETF招商,0.748,0.006,0.809,0.748,0.749,0.742,0.742,0.751,0.742,10043800,7507689,159975,11:12:12,00,正常
24,sz159974,央企创新ETF,1.311,-0.003,-0.228,1.311,1.313,1.314,1.315,1.315,1.308,43900,57659,159974,11:12:09,00,正常
