,speed5,speed10,speed20,speed30,speed60,code,date
0,,,,,,000404.SZ,20000821
1,,,,,,000404.SZ,20000822
2,,,,,,000404.SZ,20000823
3,,,,,,000404.SZ,20000824
4,,,,,,000404.SZ,20000825
5,,,,,,000404.SZ,20000828
6,,,,,,000404.SZ,20000829
7,,,,,,000404.SZ,20000830
8,,,,,,000404.SZ,20000831
9,,,,,,000404.SZ,20000901
10,,,,,,000404.SZ,20000904
11,,,,,,000404.SZ,20000905
12,,,,,,000404.SZ,20000906
13,,,,,,000404.SZ,20000907
14,,,,,,000404.SZ,20000908
15,,,,,,000404.SZ,20000911
16,,,,,,000404.SZ,20000912
17,,,,,,000404.SZ,20000913
18,,,,,,000404.SZ,20000914
19,,,,,,000404.SZ,20000915
20,,,,,,000404.SZ,20000918
21,,,,,,000404.SZ,20000919
22,,,,,,000404.SZ,20000920
23,,,,,,000404.SZ,20000921
24,,,,,,000404.SZ,20000922
25,,,,,,000404.SZ,20000925
26,,,,,,000404.SZ,20000926
27,,,,,,000404.SZ,20000927
28,,,,,,000404.SZ,20000928
29,,,,,,000404.SZ,20000929
30,,,,,,000404.SZ,20001009
31,,,,,,000404.SZ,20001010
32,,,,,,000404.SZ,20001011
33,,,,,,000404.SZ,20001012
34,,,,,,000404.SZ,20001013
35,,,,,,000404.SZ,20001016
36,,,,,,000404.SZ,20001017
37,,,,,,000404.SZ,20001018
38,,,,,,000404.SZ,20001019
39,,,,,,000404.SZ,20001020
40,,,,,,000404.SZ,20001023
41,,,,,,000404.SZ,20001024
42,,,,,,000404.SZ,20001025
43,,,,,,000404.SZ,20001026
44,,,,,,000404.SZ,20001027
45,,,,,,000404.SZ,20001030
46,,,,,,000404.SZ,20001031
47,,,,,,000404.SZ,20001101
48,,,,,,000404.SZ,20001102
49,,,,,,000404.SZ,20001103
50,,,,,,000404.SZ,20001106
51,,,,,,000404.SZ,20001107
52,,,,,,000404.SZ,20001108
53,,,,,,000404.SZ,20001109
54,,,,,,000404.SZ,20001110
55,,,,,,000404.SZ,20001113
56,,,,,,000404.SZ,20001114
57,,,,,,000404.SZ,20001115
58,,,,,,000404.SZ,20001116
59,,,,,,000404.SZ,20001117
60,,,,,,000404.SZ,20001120
61,,,,,,000404.SZ,20001121
62,,,,,,000404.SZ,20001122
63,,,,,,000404.SZ,20001123
64,,,,,,000404.SZ,20001124
65,,,,,,000404.SZ,20001127
66,,,,,,000404.SZ,20001128
67,,,,,,000404.SZ,20001129
68,,,,,,000404.SZ,20001130
69,,,,,,000404.SZ,20001201
70,,,,,,000404.SZ,20001204
71,,,,,,000404.SZ,20001205
72,,,,,,000404.SZ,20001206
73,,,,,,000404.SZ,20001207
74,,,,,,000404.SZ,20001208
75,,,,,,000404.SZ,20001211
76,,,,,,000404.SZ,20001212
77,,,,,,000404.SZ,20001213
78,,,,,,000404.SZ,20001214
79,,,,,,000404.SZ,20001215
80,,,,,,000404.SZ,20001218
81,,,,,,000404.SZ,20001219
82,,,,,,000404.SZ,20001220
83,,,,,,000404.SZ,20001221
84,,,,,,000404.SZ,20001222
85,,,,,,000404.SZ,20001225
86,,,,,,000404.SZ,20001226
87,,,,,,000404.SZ,20001227
88,,,,,,000404.SZ,20001228
89,,,,,,000404.SZ,20001229
90,,,,,,000404.SZ,20010102
91,,,,,,000404.SZ,20010103
92,,,,,,000404.SZ,20010104
93,,,,,,000404.SZ,20010105
94,,,,,,000404.SZ,20010108
95,,,,,,000404.SZ,20010109
96,,,,,,000404.SZ,20010110
97,,,,,,000404.SZ,20010111
98,,,,,,000404.SZ,20010112
99,,,,,,000404.SZ,20010115
100,,,,,,000404.SZ,20010116
101,,,,,,000404.SZ,20010117
102,0.9229284360777091,,,,,000404.SZ,20010118
103,0.9635625318668511,,,,,000404.SZ,20010119
104,0.980866736821965,,,,,000404.SZ,20010205
105,0.990532992521064,,,,,000404.SZ,20010206
106,0.9923320233873286,,,,,000404.SZ,20010207
107,0.9673798330614987,0.8928223564205642,,,,000404.SZ,20010208
108,0.9678730038741378,0.9326061621385389,,,,000404.SZ,20010209
109,1.0029259728859845,0.9837367262986703,,,,000404.SZ,20010212
110,0.9856637675618849,0.9763324813026603,,,,000404.SZ,20010213
111,0.9980681927943592,0.9904150292341609,,,,000404.SZ,20010214
112,1.0069423782604383,0.9740957497841313,,,,000404.SZ,20010215
113,0.9697354290735136,0.9385807427005575,,,,000404.SZ,20010216
114,0.9445492560536809,0.9473129815663708,,,,000404.SZ,20010219
115,0.9301658101425385,0.9168307368823474,,,,000404.SZ,20010220
116,0.8993322365237588,0.8975949000289771,,,,000404.SZ,20010221
117,0.9172461341475425,0.9236140037687195,0.8246232312678201,,,000404.SZ,20010222
118,0.9486358602637673,0.919925802987406,0.8579284725762983,,,000404.SZ,20010223
119,0.9804381846635368,0.9260721579305651,0.9110111929589593,,,000404.SZ,20010226
120,1.001042448503044,0.9311354600989042,0.9090977941872573,,,000404.SZ,20010227
121,1.0258264462809918,0.9225587922191039,0.9137160931659158,,,000404.SZ,20010228
122,1.027918563697277,0.9428543287698218,0.9184303943202534,,,000404.SZ,20010301
123,1.0318376703315362,0.9788382160475183,0.9187186998015685,,,000404.SZ,20010302
124,1.0147015583651868,0.9948521538588255,0.9424363600897299,,,000404.SZ,20010305
125,0.9916690965135169,0.9927028604786923,0.9101404950778936,,,000404.SZ,20010306
126,1.0,1.0258264462809918,0.9207765864966676,,,000404.SZ,20010307
127,1.0062677586495068,1.0343613091658792,0.9553505901021521,0.85295836506278,,000404.SZ,20010308
128,1.0051425515283663,1.0371439487201257,0.9540954798398906,0.8897953237672082,,000404.SZ,20010309
129,1.0030632942832305,1.0178098878481119,0.9425653992025673,0.9272362001339328,,000404.SZ,20010312
130,1.0082118704582685,0.9998125546715542,0.9309609231067585,0.9089273880526366,,000404.SZ,20010313
