,code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
4999,000416.SZ,20000307,,,,,,,,18568.0,18661.4341
4998,000416.SZ,20000308,,,,,,,,15445.0,16061.2569
4997,000416.SZ,20000309,,,,,,,,10927.0,11149.0106
4996,000416.SZ,20000310,,,,,,,,12667.0,12634.8803
4995,000416.SZ,20000313,,,,,,,,10044.0,9914.4889
4994,000416.SZ,20000314,,,,,,,,25205.0,23851.6039
4993,000416.SZ,20000315,,,,,,,,12513.0,12367.0663
4992,000416.SZ,20000316,,,,,,,,10399.0,9841.6385
4991,000416.SZ,20000317,,,,,,,,9590.0,9192.9112
4990,000416.SZ,20000320,,,,,,,,33811.0,35044.3233
4989,000416.SZ,20000321,,,,,,,,35894.0,38875.8863
4988,000416.SZ,20000322,,,,,,,,18601.0,19398.48
4987,000416.SZ,20000323,,,,,,,,75491.0,85373.6252
4986,000416.SZ,20000324,,,,,,,,171407.0,209734.4258
4985,000416.SZ,20000327,,,,,,,,77034.0,95499.0194
4984,000416.SZ,20000328,,,,,,,,55665.0,67138.0991
4983,000416.SZ,20000329,,,,,,,,31761.0,37082.9531
4982,000416.SZ,20000330,,,,,,,,22806.0,26998.8049
4981,000416.SZ,20000331,,,,,,,,29211.0,34425.6204
4980,000416.SZ,20000403,,,,,,,,38175.0,47478.4188
4979,000416.SZ,20000404,,,,,,,,31137.0,37636.6051
4978,000416.SZ,20000405,,,,,,,,20658.0,24135.5503
4977,000416.SZ,20000406,,,,,,,,19742.0,23945.0131
4976,000416.SZ,20000407,,,,,,,,70634.0,91232.6724
4975,000416.SZ,20000410,,,,,,,,67308.0,90549.4476
4974,000416.SZ,20000411,,,,,,,,36100.0,46463.9361
4973,000416.SZ,20000412,,,,,,,,24778.0,31272.6583
4972,000416.SZ,20000413,,,,,,,,17721.0,22464.3652
4971,000416.SZ,20000414,,,,,,,,23668.0,30248.5705
4970,000416.SZ,20000417,,,,,,,,26330.0,32390.2281
4969,000416.SZ,20000418,,,,,,,,13878.0,17032.0
4968,000416.SZ,20000419,,,,,,,,35234.0,45594.4574
4967,000416.SZ,20000420,,,,,,,,26210.0,34223.0889
4966,000416.SZ,20000421,,,,,,,,66671.0,91489.8839
4965,000416.SZ,20000424,,,,,,,,28287.0,39665.3694
4964,000416.SZ,20000425,,,,,,,,16948.0,22966.862
4963,000416.SZ,20000426,,,,,,,,14900.0,20071.1824
4962,000416.SZ,20000427,,,,,,,,32690.0,44908.4286
4961,000416.SZ,20000428,,,,,,,,22271.0,30154.9369
4960,000416.SZ,20000508,,,,,,,,20586.0,28640.4252
4959,000416.SZ,20000509,,,,,,,,14226.0,19706.1253
4958,000416.SZ,20000510,,,,,,,,15561.0,21082.2121
4957,000416.SZ,20000511,,,,,,,,14091.0,18577.8503
4956,000416.SZ,20000512,,,,,,,,32343.0,40501.5829
4955,000416.SZ,20000515,,,,,,,,16014.0,18730.3324
4954,000416.SZ,20000516,,,,,,,,9540.0,11578.7166
4953,000416.SZ,20000517,,,,,,,,9031.0,11030.8028
4952,000416.SZ,20000518,,,,,,,,13427.0,16707.9016
4951,000416.SZ,20000519,,,,,,,,6634.0,8294.9201
4950,000416.SZ,20000522,,,,,,,,12791.0,16264.608
4949,000416.SZ,20000523,,,,,,,,11094.0,13867.8195
4948,000416.SZ,20000524,,,,,,,,9745.0,12311.6633
4947,000416.SZ,20000525,,,,,,,,22186.0,29550.7709
4946,000416.SZ,20000526,,,,,,,,35466.0,49508.5129
4945,000416.SZ,20000529,,,,,,,,19128.0,26642.6721
4944,000416.SZ,20000531,,,,,,,,12173.0,16451.4776
4943,000416.SZ,20000601,,,,,,,,8961.0,11976.4506
4942,000416.SZ,20000602,,,,,,,,14434.0,18884.5044
4941,000416.SZ,20000605,,,,,,,,12859.0,16442.7298
4940,000416.SZ,20000606,,,,,,,,20672.0,25581.6959
4939,000416.SZ,20000607,,,,,,,,18088.0,23421.4875
4938,000416.SZ,20000608,,,,,,,,27863.0,35584.1177
4937,000416.SZ,20000609,,,,,,,,44365.0,53818.7712
4936,000416.SZ,20000612,,,,,,,,7527.0,9091.5459
4935,000416.SZ,20000613,,,,,,,,8672.0,10588.3215
4934,000416.SZ,20000614,,,,,,,,11966.0,14508.6725
4933,000416.SZ,20000615,,,,,,,,10939.0,13797.7353
4932,000416.SZ,20000616,,,,,,,,9836.0,11958.2018
4931,000416.SZ,20000619,,,,,,,,11418.0,13491.9014
4930,000416.SZ,20000620,,,,,,,,6593.0,7696.8306
4929,000416.SZ,20000621,,,,,,,,7637.0,9044.0927
4928,000416.SZ,20000622,,,,,,,,7256.0,8573.2054
4927,000416.SZ,20000623,,,,,,,,12265.0,14146.8495
4926,000416.SZ,20000626,,,,,,,,17301.0,19412.0791
4925,000416.SZ,20000627,,,,,,,,13949.0,15494.9125
4924,000416.SZ,20000628,,,,,,,,10065.0,11294.4961
4923,000416.SZ,20000629,,,,,,,,10160.0,11209.9703
4922,000416.SZ,20000630,,,,,,,,14978.0,15760.5092
4921,000416.SZ,20000703,,,,,,,,8213.0,8504.3446
4920,000416.SZ,20000704,,,,,,,,3722.0,3898.3435
4919,000416.SZ,20000705,,,,,,,,5542.0,5918.6757
4918,000416.SZ,20000706,,,,,,,,2591.0,2760.7993
4917,000416.SZ,20000707,,,,,,,,3605.0,3862.4172
4916,000416.SZ,20000710,,,,,,,,7224.0,7472.411
4915,000416.SZ,20000711,,,,,,,,4906.0,5125.604
4914,000416.SZ,20000712,,,,,,,,6286.0,6638.7811
4913,000416.SZ,20000713,,,,,,,,5323.0,5579.347
4912,000416.SZ,20000714,,,,,,,,4259.0,4509.8667
4911,000416.SZ,20000717,,,,,,,,4220.0,4405.8959
4910,000416.SZ,20000718,,,,,,,,7366.0,7932.0617
4909,000416.SZ,20000719,,,,,,,,6343.0,6902.7298
4908,000416.SZ,20000720,,,,,,,,5169.0,5666.4848
4907,000416.SZ,20000721,,,,,,,,4586.0,5117.3288
4906,000416.SZ,20000724,,,,,,,,2697.0,2944.5993
4905,000416.SZ,20000725,,,,,,,,4292.0,4659.6702
4904,000416.SZ,20000726,,,,,,,,3604.0,3965.1117
4903,000416.SZ,20000727,,,,,,,,6057.0,6795.9896
4902,000416.SZ,20000728,,,,,,,,5005.0,5683.0413
4901,000416.SZ,20000731,,,,,,,,6311.0,7201.6466
4900,000416.SZ,20000801,,,,,,,,7594.0,8849.1113
4899,000416.SZ,20000802,,,,,,,,8630.0,10233.7383
4898,000416.SZ,20000803,,,,,,,,15596.0,18933.1617
4897,000416.SZ,20000804,,,,,,,,8128.0,9493.5107
4896,000416.SZ,20000807,,,,,,,,4205.0,4951.6624
4895,000416.SZ,20000808,,,,,,,,4363.0,5224.4907
4894,000416.SZ,20000809,,,,,,,,6772.0,8163.6332
4893,000416.SZ,20000810,,,,,,,,9895.0,11957.2481
4892,000416.SZ,20000811,,,,,,,,6425.0,7721.8784
4891,000416.SZ,20000814,,,,,,,,11072.0,13362.9117
4890,000416.SZ,20000815,,,,,,,,31724.0,40508.0779
4889,000416.SZ,20000816,,,,,,,,30179.0,39714.9404
4888,000416.SZ,20000817,,,,,,,,26237.0,35273.333
4887,000416.SZ,20000818,,,,,,,,42584.0,58637.4681
4886,000416.SZ,20000821,,,,,,,,18081.0,25348.7295
4885,000416.SZ,20000822,,,,,,,,15704.0,21939.6088
4884,000416.SZ,20000823,,,,,,,,28374.0,37851.6771
4883,000416.SZ,20000824,,,,,,,,17601.0,24408.8656
4882,000416.SZ,20000825,,,,,,,,5644.0,7856.6209
4881,000416.SZ,20000828,,,,,,,,11818.0,16261.4218
4880,000416.SZ,20000829,,,,,,,,11403.0,16021.6715
4879,000416.SZ,20000830,,,,,,,,16039.0,22762.4399
4878,000416.SZ,20000831,,,,,,,,21464.0,30364.5836
4877,000416.SZ,20000901,,,,,,,,15002.0,20394.4217
4876,000416.SZ,20000904,,,,,,,,10776.0,14727.4104
4875,000416.SZ,20000905,,,,,,,,13151.0,17996.5948
4874,000416.SZ,20000906,,,,,,,,10820.78,14848.8937
4873,000416.SZ,20000907,,,,,,,,9916.0,13468.3499
4872,000416.SZ,20000908,,,,,,,,8450.0,11288.6382
4871,000416.SZ,20000911,,,,,,,,5485.0,7205.7126
4870,000416.SZ,20000912,,,,,,,,6852.0,8812.105
4869,000416.SZ,20000913,,,,,,,,5204.0,6847.9672
4868,000416.SZ,20000914,,,,,,,,2828.0,3757.4766
4867,000416.SZ,20000915,,,,,,,,2451.0,3293.4302
4866,000416.SZ,20000918,,,,,,,,2209.0,2968.4622
4865,000416.SZ,20000919,,,,,,,,5029.0,6591.7868
